ax,ay,az,gx,gy,gz,mx,my,mz,heading,pitch,roll
0.02,-0.528,-0.885,0.031,-0.008,-0.004,-25.05,-255.0,-11.1,82.74,-0.65,-149.18
0.009,-0.524,-0.879,0.036,-0.0,-0.005,-25.05,-255.0,-11.1,82.74,-0.65,-149.18
0.009,-0.524,-0.879,0.033,-0.002,-0.001,-25.95,-254.7,-10.2,82.74,-0.64,-149.19
0.012,-0.527,-0.885,0.029,-0.006,-0.0,-25.8,-254.55,-10.35,82.74,-0.64,-149.19
0.009,-0.53,-0.879,0.034,0.001,0.002,-25.8,-255.75,-11.1,82.74,-0.64,-149.18
0.009,-0.525,-0.886,0.031,-0.006,0.002,-26.55,-255.3,-9.75,82.74,-0.63,-149.18
0.009,-0.525,-0.886,0.035,0.001,-0.002,-26.55,-255.3,-9.75,82.74,-0.63,-149.19
0.013,-0.525,-0.887,0.037,0.001,-0.007,-26.25,-255.3,-10.8,82.74,-0.63,-149.19
0.014,-0.526,-0.883,0.038,-0.001,-0.003,-26.7,-253.95,-10.95,82.73,-0.63,-149.19
0.014,-0.526,-0.883,0.036,0.005,0.001,-25.65,-253.2,-10.2,82.73,-0.64,-149.19
0.01,-0.529,-0.882,0.033,0.002,-0.0,-26.25,-255.0,-9.75,82.73,-0.63,-149.19
0.01,-0.529,-0.88,0.035,0.001,-0.003,-26.25,-255.0,-9.75,82.73,-0.63,-149.18
0.007,-0.531,-0.883,0.033,-0.002,-0.001,-26.7,-255.15,-10.95,82.73,-0.62,-149.18
0.007,-0.531,-0.883,0.038,-0.003,-0.002,-24.9,-254.4,-9.45,82.73,-0.62,-149.18
0.012,-0.528,-0.88,0.035,0.003,-0.001,-27.15,-255.6,-9.9,82.73,-0.62,-149.17
0.013,-0.527,-0.887,0.039,0.0,-0.005,-25.5,-254.25,-11.55,82.73,-0.62,-149.17
0.013,-0.527,-0.887,0.034,0.004,-0.003,-25.5,-254.25,-11.55,82.73,-0.62,-149.18
0.01,-0.523,-0.882,0.028,-0.002,0.0,-26.7,-253.65,-10.95,82.73,-0.62,-149.18
0.014,-0.523,-0.879,0.037,0.001,0.003,-25.95,-255.6,-11.7,82.73,-0.62,-149.18
0.015,-0.526,-0.881,0.033,-0.006,0.0,-26.55,-255.0,-10.8,82.72,-0.63,-149.18
0.015,-0.526,-0.881,0.033,-0.0,0.002,-24.9,-256.35,-11.4,82.73,-0.63,-149.18
0.014,-0.529,-0.879,0.038,-0.003,-0.007,-24.3,-255.75,-12.3,82.73,-0.64,-149.17
0.01,-0.528,-0.881,0.034,0.002,-0.005,-25.65,-255.9,-11.4,82.73,-0.64,-149.17
0.01,-0.528,-0.881,0.037,-0.005,-0.006,-26.55,-255.0,-9.75,82.73,-0.63,-149.17
0.01,-0.526,-0.881,0.033,0.0,-0.008,-26.55,-254.25,-10.8,82.73,-0.63,-149.17
0.012,-0.528,-0.881,0.03,0.001,0.005,-26.55,-255.3,-11.85,82.72,-0.63,-149.17
0.014,-0.528,-0.885,0.032,-0.002,-0.003,-24.45,-254.4,-9.9,82.73,-0.64,-149.17
0.014,-0.528,-0.885,0.028,-0.001,0.002,-26.25,-255.0,-9.75,82.73,-0.64,-149.17
0.013,-0.528,-0.884,0.034,0.001,-0.004,-26.4,-255.15,-10.65,82.72,-0.64,-149.17
0.016,-0.523,-0.88,0.038,0.002,-0.003,-25.65,-253.2,-10.05,82.72,-0.65,-149.17
0.015,-0.524,-0.879,0.033,0.0,-0.003,-26.25,-254.25,-10.8,82.72,-0.65,-149.17
0.015,-0.524,-0.879,0.034,-0.004,-0.005,-25.05,-254.25,-10.8,82.72,-0.66,-149.17
0.011,-0.525,-0.879,0.033,0.0,-0.002,-27.15,-253.95,-10.65,82.72,-0.65,-149.17
0.012,-0.527,-0.884,0.035,-0.002,-0.003,-25.95,-253.95,-10.2,82.72,-0.65,-149.17
0.012,-0.527,-0.884,0.029,0.003,0.006,-25.5,-254.55,-10.35,82.72,-0.65,-149.17
0.016,-0.527,-0.887,0.032,-0.004,-0.002,-25.5,-254.55,-11.55,82.72,-0.66,-149.17
0.012,-0.526,-0.883,0.039,-0.001,-0.001,-25.5,-255.75,-11.1,82.72,-0.66,-149.17
0.017,-0.526,-0.879,0.033,0.002,-0.001,-25.5,-255.75,-11.1,82.72,-0.67,-149.17
0.017,-0.526,-0.879,0.031,0.005,-0.001,-26.4,-255.15,-10.65,82.72,-0.67,-149.17
0.014,-0.523,-0.883,0.041,0.001,-0.002,-25.65,-255.6,-9.9,82.72,-0.68,-149.17
0.014,-0.527,-0.877,0.038,0.001,0.002,-27.3,-255.75,-12.3,82.72,-0.68,-149.17
0.014,-0.527,-0.877,0.034,-0.002,0.001,-26.25,-254.55,-10.8,82.71,-0.68,-149.16
0.011,-0.523,-0.882,0.035,0.0,0.001,-26.25,-254.55,-10.8,82.71,-0.68,-149.17
0.017,-0.527,-0.882,0.033,-0.001,-0.003,-25.95,-254.4,-9.9,82.71,-0.68,-149.17
0.012,-0.525,-0.88,0.032,-0.002,-0.007,-26.7,-255.15,-9.9,82.71,-0.68,-149.17
0.012,-0.525,-0.88,0.031,0.001,0.002,-25.65,-254.7,-10.95,82.71,-0.68,-149.17
0.009,-0.531,-0.883,0.034,0.001,-0.002,-25.95,-254.4,-10.65,82.71,-0.67,-149.16
0.018,-0.527,-0.882,0.035,0.0,0.001,-25.95,-254.4,-10.65,82.71,-0.68,-149.16
0.018,-0.527,-0.882,0.034,-0.005,-0.0,-25.5,-254.25,-10.35,82.71,-0.69,-149.16
0.014,-0.524,-0.878,0.032,0.002,0.002,-25.8,-254.55,-11.1,82.71,-0.69,-149.16
0.011,-0.527,-0.888,0.032,-0.002,-0.007,-25.8,-255.0,-10.05,82.71,-0.69,-149.16
0.01,-0.524,-0.882,0.033,-0.002,-0.006,-25.65,-255.15,-11.4,82.71,-0.69,-149.17
0.01,-0.524,-0.882,0.035,-0.001,-0.004,-25.65,-255.15,-11.4,82.71,-0.68,-149.17
0.014,-0.53,-0.882,0.032,0.004,-0.004,-25.95,-254.4,-10.65,82.71,-0.68,-149.16
0.008,-0.523,-0.878,0.034,-0.002,-0.005,-25.95,-253.65,-10.65,82.71,-0.68,-149.17
0.008,-0.523,-0.878,0.034,-0.0,-0.001,-25.65,-255.15,-10.2,82.71,-0.67,-149.17
0.012,-0.527,-0.881,0.032,0.003,-0.0,-25.2,-253.65,-11.4,82.71,-0.67,-149.16
0.012,-0.527,-0.883,0.038,-0.003,-0.002,-25.2,-253.65,-11.4,82.71,-0.67,-149.17
0.01,-0.524,-0.885,0.04,0.005,-0.003,-25.2,-254.7,-10.65,82.71,-0.67,-149.17
0.01,-0.524,-0.885,0.033,0.002,0.0,-26.25,-255.3,-11.1,82.71,-0.67,-149.17
0.013,-0.525,-0.882,0.032,-0.004,-0.006,-26.55,-256.05,-10.8,82.71,-0.67,-149.18
0.011,-0.53,-0.883,0.034,0.004,-0.005,-25.65,-254.7,-11.4,82.71,-0.67,-149.17
0.011,-0.53,-0.883,0.032,-0.004,-0.001,-25.65,-254.7,-11.4,82.71,-0.67,-149.17
0.015,-0.526,-0.883,0.036,0.002,0.002,-25.65,-254.7,-11.4,82.71,-0.67,-149.17
0.009,-0.528,-0.882,0.032,-0.001,-0.001,-27.9,-256.65,-9.15,82.7,-0.66,-149.17
0.004,-0.528,-0.879,0.035,-0.0,0.004,-26.55,-256.05,-10.8,82.7,-0.65,-149.16
0.004,-0.528,-0.879,0.037,-0.004,-0.002,-25.5,-254.25,-10.35,82.7,-0.64,-149.16
0.008,-0.526,-0.883,0.033,-0.001,-0.005,-25.5,-254.25,-10.35,82.7,-0.64,-149.16
0.009,-0.529,-0.885,0.035,-0.003,-0.004,-25.5,-254.25,-10.35,82.7,-0.64,-149.16
0.009,-0.529,-0.885,0.032,0.004,-0.004,-25.2,-254.7,-10.2,82.7,-0.63,-149.16
0.014,-0.524,-0.881,0.035,-0.002,-0.002,-25.2,-254.4,-10.65,82.7,-0.64,-149.16
0.02,-0.535,-0.883,0.03,-0.001,-0.001,-26.25,-255.3,-9.75,82.7,-0.65,-149.15
0.009,-0.524,-0.885,0.036,0.001,0.002,-26.4,-253.95,-9.45,82.7,-0.64,-149.16
0.009,-0.524,-0.885,0.033,-0.003,-0.002,-26.4,-253.95,-9.45,82.7,-0.64,-149.16
0.009,-0.524,-0.879,0.037,-0.001,-0.002,-25.65,-254.7,-10.65,82.7,-0.64,-149.16
0.015,-0.531,-0.883,0.034,-0.003,-0.003,-25.8,-255.0,-9.75,82.7,-0.64,-149.16
0.01,-0.531,-0.883,0.034,0.0,0.001,-24.75,-255.3,-10.05,82.7,-0.64,-149.15
0.01,-0.531,-0.883,0.032,0.002,0.0,-26.55,-254.55,-11.1,82.7,-0.64,-149.15
0.012,-0.528,-0.884,0.031,0.001,-0.003,-26.55,-254.55,-11.1,82.7,-0.64,-149.15
0.007,-0.528,-0.883,0.032,0.003,0.001,-25.65,-254.7,-11.7,82.7,-0.63,-149.15
0.007,-0.528,-0.883,0.034,0.003,0.002,-26.4,-255.15,-9.9,82.7,-0.62,-149.15
0.011,-0.527,-0.879,0.034,0.001,0.003,-25.5,-253.35,-10.35,82.7,-0.62,-149.14
0.016,-0.527,-0.886,0.032,0.003,0.002,-26.55,-255.3,-10.05,82.7,-0.63,-149.15
0.014,-0.529,-0.884,0.033,0.006,-0.001,-26.55,-255.3,-10.05,82.7,-0.63,-149.15
0.014,-0.529,-0.884,0.033,-0.001,-0.001,-26.7,-254.4,-10.65,82.69,-0.63,-149.15
0.008,-0.522,-0.877,0.035,-0.001,-0.007,-25.05,-255.0,-10.05,82.7,-0.63,-149.15
0.014,-0.524,-0.882,0.033,-0.003,-0.006,-25.65,-254.7,-11.4,82.7,-0.63,-149.15
0.014,-0.524,-0.882,0.029,-0.002,-0.002,-27.0,-254.25,-11.1,82.69,-0.64,-149.15
0.014,-0.523,-0.885,0.034,-0.002,-0.002,-27.0,-254.25,-11.1,82.69,-0.64,-149.16
0.01,-0.527,-0.88,0.03,0.0,0.002,-26.7,-255.9,-10.95,82.69,-0.63,-149.16
0.011,-0.524,-0.879,0.03,0.001,0.003,-25.5,-255.75,-9.3,82.69,-0.63,-149.16
0.011,-0.524,-0.879,0.036,-0.001,0.003,-27.0,-255.3,-10.35,82.69,-0.63,-149.16
0.01,-0.526,-0.881,0.029,-0.002,-0.001,-26.25,-255.75,-10.35,82.69,-0.63,-149.16
0.013,-0.524,-0.879,0.031,-0.0,-0.003,-26.25,-255.75,-10.35,82.69,-0.63,-149.16
0.013,-0.524,-0.879,0.036,-0.002,-0.007,-26.25,-255.75,-10.35,82.69,-0.63,-149.16
0.016,-0.52,-0.885,0.037,0.001,-0.003,-26.4,-255.15,-11.7,82.68,-0.64,-149.17
0.009,-0.527,-0.886,0.031,-0.003,-0.0,-26.4,-255.15,-11.4,82.68,-0.63,-149.17
0.011,-0.529,-0.88,0.037,0.0,0.002,-25.65,-255.15,-10.2,82.68,-0.63,-149.17
0.011,-0.529,-0.88,0.032,-0.001,0.001,-26.7,-254.7,-10.65,82.68,-0.63,-149.16
0.003,-0.527,-0.887,0.035,0.004,0.002,-27.15,-254.7,-10.2,82.68,-0.62,-149.17
0.009,-0.524,-0.884,0.036,-0.001,-0.005,-25.2,-255.15,-11.4,82.68,-0.62,-149.17
0.009,-0.524,-0.884,0.031,-0.001,-0.008,-26.7,-254.4,-10.65,82.68,-0.61,-149.17
0.01,-0.526,-0.882,0.036,-0.003,-0.006,-26.4,-254.7,-10.65,82.68,-0.61,-149.17
0.015,-0.521,-0.885,0.037,-0.002,-0.001,-26.55,-254.55,-11.1,82.68,-0.62,-149.18
0.011,-0.528,-0.883,0.035,0.003,0.001,-24.3,-255.3,-11.1,82.68,-0.62,-149.18
0.011,-0.528,-0.883,0.028,0.001,-0.002,-26.25,-255.75,-10.8,82.68,-0.62,-149.18
0.015,-0.53,-0.884,0.037,0.003,-0.003,-25.2,-255.6,-8.4,82.68,-0.62,-149.18
0.01,-0.527,-0.881,0.04,0.001,0.001,-27.15,-255.6,-10.65,82.68,-0.62,-149.17
0.01,-0.527,-0.881,0.031,0.001,-0.008,-25.2,-255.15,-11.7,82.68,-0.62,-149.17
0.015,-0.523,-0.879,0.033,-0.003,-0.007,-25.95,-254.7,-10.2,82.68,-0.62,-149.17
0.011,-0.524,-0.884,0.036,-0.001,-0.001,-25.5,-255.3,-11.1,82.68,-0.63,-149.18
0.009,-0.528,-0.882,0.03,-0.0,0.004,-27.0,-255.75,-10.8,82.68,-0.62,-149.17
0.009,-0.528,-0.882,0.029,-0.002,0.003,-24.75,-255.3,-10.35,82.68,-0.62,-149.17
0.013,-0.531,-0.881,0.037,0.003,-0.001,-24.75,-255.0,-10.35,82.68,-0.62,-149.17
0.008,-0.53,-0.885,0.034,-0.001,-0.005,-24.75,-255.0,-10.35,82.69,-0.62,-149.16
0.008,-0.53,-0.885,0.032,0.0,-0.004,-27.15,-255.15,-10.65,82.68,-0.61,-149.16
0.007,-0.527,-0.885,0.038,0.003,-0.007,-26.4,-253.65,-10.65,82.68,-0.61,-149.16
0.009,-0.524,-0.883,0.037,0.004,-0.002,-27.0,-255.75,-10.8,82.68,-0.61,-149.17
0.01,-0.53,-0.878,0.025,0.001,0.007,-25.95,-253.95,-10.65,82.68,-0.6,-149.16
0.01,-0.53,-0.878,0.036,0.002,0.006,-25.95,-253.95,-10.65,82.68,-0.6,-149.15
0.013,-0.53,-0.881,0.039,-0.0,0.004,-25.8,-255.0,-10.35,82.68,-0.6,-149.15
0.007,-0.521,-0.88,0.032,0.006,-0.001,-25.05,-254.55,-11.55,82.68,-0.6,-149.15
0.007,-0.521,-0.88,0.035,-0.002,-0.011,-24.9,-255.15,-9.45,82.69,-0.6,-149.16
0.012,-0.528,-0.884,0.038,0.005,-0.013,-25.2,-255.9,-10.2,82.69,-0.6,-149.15
0.009,-0.528,-0.881,0.036,0.004,-0.012,-25.2,-255.9,-10.2,82.69,-0.6,-149.15
0.013,-0.529,-0.881,0.029,0.003,0.007,-25.5,-255.0,-10.05,82.69,-0.6,-149.15
0.013,-0.529,-0.881,0.037,-0.004,0.011,-25.05,-255.75,-10.05,82.69,-0.61,-149.14
0.009,-0.533,-0.878,0.028,0.002,0.012,-27.3,-254.55,-10.05,82.69,-0.6,-149.14
0.008,-0.527,-0.879,0.032,0.001,-0.002,-25.5,-254.25,-11.85,82.69,-0.6,-149.13
0.01,-0.526,-0.88,0.037,-0.002,-0.006,-24.75,-254.25,-10.35,82.69,-0.6,-149.13
0.01,-0.526,-0.88,0.04,-0.001,-0.008,-25.65,-254.4,-9.15,82.69,-0.6,-149.13
0.014,-0.53,-0.879,0.034,-0.005,-0.011,-25.5,-254.25,-9.75,82.69,-0.6,-149.13
0.013,-0.525,-0.876,0.033,-0.002,0.0,-26.4,-254.4,-10.65,82.69,-0.6,-149.13
0.013,-0.525,-0.876,0.033,0.0,0.006,-26.4,-254.4,-10.95,82.69,-0.61,-149.12
0.011,-0.525,-0.879,0.031,-0.003,0.012,-25.5,-254.55,-10.35,82.69,-0.61,-149.12
0.005,-0.523,-0.884,0.034,-0.001,0.007,-25.65,-255.9,-9.9,82.69,-0.6,-149.13
0.013,-0.53,-0.882,0.032,0.004,-0.004,-24.0,-255.0,-10.8,82.7,-0.61,-149.13
0.013,-0.53,-0.882,0.033,0.005,-0.008,-25.65,-254.7,-10.65,82.7,-0.61,-149.12
0.012,-0.524,-0.885,0.041,-0.001,-0.01,-24.3,-255.0,-11.1,82.7,-0.61,-149.13
0.016,-0.523,-0.877,0.034,0.004,-0.003,-24.3,-255.0,-11.1,82.7,-0.62,-149.13
0.016,-0.523,-0.877,0.033,-0.002,0.003,-24.3,-255.0,-11.1,82.71,-0.63,-149.13
0.011,-0.528,-0.885,0.031,0.002,0.008,-25.2,-255.15,-11.4,82.71,-0.63,-149.13
0.007,-0.528,-0.878,0.03,0.001,0.007,-25.95,-254.7,-10.95,82.71,-0.63,-149.13
0.011,-0.526,-0.882,0.032,-0.001,0.008,-25.5,-254.55,-10.35,82.71,-0.63,-149.13
0.011,-0.526,-0.882,0.035,-0.004,-0.01,-25.5,-254.55,-10.35,82.71,-0.63,-149.13
0.009,-0.533,-0.876,0.033,-0.003,-0.015,-25.5,-254.55,-10.35,82.71,-0.62,-149.12
0.013,-0.525,-0.88,0.04,-0.0,-0.014,-25.95,-254.4,-10.95,82.71,-0.63,-149.12
0.013,-0.525,-0.88,0.034,-0.001,-0.007,-25.2,-253.95,-12.45,82.71,-0.63,-149.12
0.011,-0.529,-0.879,0.034,-0.004,0.007,-25.8,-255.0,-11.55,82.71,-0.63,-149.12
0.012,-0.524,-0.882,0.032,-0.004,0.01,-25.5,-253.8,-10.35,82.71,-0.63,-149.12
0.01,-0.527,-0.883,0.04,0.0,0.009,-25.5,-253.8,-10.35,82.71,-0.63,-149.12
0.01,-0.527,-0.883,0.03,0.001,0.001,-25.05,-255.3,-10.35,82.71,-0.63,-149.12
0.01,-0.531,-0.881,0.038,0.0,-0.01,-24.75,-254.55,-11.55,82.71,-0.63,-149.12
0.013,-0.529,-0.881,0.04,-0.005,-0.011,-26.7,-254.7,-9.9,82.71,-0.63,-149.12
0.013,-0.529,-0.881,0.04,0.0,-0.009,-26.4,-256.65,-10.65,82.71,-0.63,-149.11
0.011,-0.521,-0.881,0.034,-0.001,-0.0,-26.4,-256.65,-10.65,82.71,-0.63,-149.12
0.015,-0.527,-0.882,0.033,-0.001,0.005,-25.95,-253.65,-10.65,82.71,-0.64,-149.12
0.007,-0.534,-0.885,0.027,0.002,0.01,-25.95,-253.95,-10.95,82.71,-0.63,-149.12
0.007,-0.534,-0.885,0.035,-0.002,0.005,-25.2,-253.65,-10.2,82.71,-0.63,-149.11
0.007,-0.526,-0.883,0.037,0.0,-0.001,-25.05,-254.25,-10.05,82.71,-0.62,-149.11
0.012,-0.525,-0.882,0.034,0.001,-0.012,-25.05,-254.25,-10.05,82.71,-0.62,-149.12
0.012,-0.525,-0.882,0.034,-0.0,-0.011,-25.95,-255.15,-9.15,82.71,-0.62,-149.12
0.013,-0.521,-0.886,0.036,0.005,-0.006,-25.2,-254.4,-10.65,82.71,-0.63,-149.13
0.014,-0.527,-0.887,0.033,-0.0,0.005,-25.65,-256.35,-10.65,82.71,-0.63,-149.13
0.01,-0.53,-0.883,0.033,-0.002,0.005,-25.65,-255.6,-10.65,82.71,-0.63,-149.13
0.01,-0.53,-0.883,0.035,-0.001,0.007,-25.65,-255.6,-10.65,82.71,-0.63,-149.13
0.007,-0.525,-0.884,0.037,0.0,-0.002,-26.4,-255.9,-10.2,82.71,-0.62,-149.13
0.013,-0.529,-0.882,0.035,0.001,-0.006,-25.65,-255.15,-10.65,82.71,-0.63,-149.13
0.013,-0.529,-0.882,0.037,-0.001,-0.006,-25.05,-253.8,-10.8,82.71,-0.63,-149.12
0.014,-0.529,-0.878,0.034,-0.003,-0.007,-26.4,-254.7,-10.95,82.71,-0.63,-149.12
0.015,-0.528,-0.885,0.033,0.002,-0.005,-26.4,-254.7,-10.95,82.71,-0.64,-149.12
0.016,-0.525,-0.882,0.029,0.002,-0.0,-26.4,-254.7,-10.95,82.71,-0.64,-149.12
0.016,-0.525,-0.882,0.029,0.0,0.007,-25.5,-255.3,-11.55,82.71,-0.65,-149.12
0.013,-0.528,-0.884,0.031,-0.002,0.007,-26.25,-255.75,-11.1,82.71,-0.65,-149.12
0.015,-0.528,-0.882,0.029,-0.001,-0.001,-24.9,-255.6,-10.65,82.71,-0.65,-149.12
0.015,-0.528,-0.882,0.04,-0.003,-0.009,-26.7,-254.7,-10.65,82.71,-0.65,-149.12
0.012,-0.525,-0.881,0.039,-0.0,-0.004,-26.7,-254.7,-10.65,82.71,-0.65,-149.13
0.013,-0.522,-0.882,0.03,0.002,-0.001,-26.7,-254.4,-10.65,82.7,-0.65,-149.13
0.01,-0.528,-0.879,0.033,0.003,-0.001,-25.5,-254.55,-10.35,82.71,-0.65,-149.13
0.01,-0.528,-0.879,0.032,-0.001,0.003,-25.65,-254.4,-9.45,82.71,-0.65,-149.13
0.01,-0.528,-0.88,0.037,-0.001,-0.0,-25.5,-253.35,-11.55,82.71,-0.65,-149.12
0.014,-0.527,-0.883,0.036,-0.004,0.004,-25.5,-253.35,-11.55,82.71,-0.65,-149.12
0.011,-0.524,-0.883,0.04,-0.002,-0.004,-25.8,-254.55,-10.8,82.71,-0.65,-149.13
0.011,-0.524,-0.883,0.039,0.004,-0.017,-25.8,-255.3,-10.35,82.71,-0.65,-149.13
0.01,-0.528,-0.884,0.037,0.002,-0.01,-25.95,-253.95,-10.65,82.7,-0.65,-149.13
0.016,-0.527,-0.884,0.038,0.004,0.001,-25.05,-255.0,-9.75,82.71,-0.65,-149.13
0.016,-0.527,-0.884,0.037,0.001,0.003,-25.05,-255.0,-9.75,82.71,-0.66,-149.13
0.013,-0.53,-0.883,0.027,-0.001,0.007,-26.4,-254.7,-10.95,82.71,-0.66,-149.13
0.014,-0.527,-0.883,0.034,-0.001,0.006,-25.65,-255.15,-10.95,82.71,-0.66,-149.13
0.014,-0.527,-0.883,0.034,-0.0,0.001,-25.05,-254.55,-11.55,82.71,-0.67,-149.13
0.014,-0.527,-0.883,0.041,-0.001,-0.013,-27.0,-255.0,-11.55,82.7,-0.67,-149.13
0.012,-0.522,-0.881,0.035,0.004,-0.016,-27.0,-255.0,-11.55,82.7,-0.67,-149.14
0.011,-0.523,-0.884,0.036,0.001,-0.014,-25.8,-254.55,-9.75,82.7,-0.67,-149.15
0.011,-0.523,-0.884,0.032,-0.003,-0.004,-26.25,-255.3,-9.75,82.7,-0.66,-149.15
0.013,-0.525,-0.881,0.036,-0.002,0.009,-24.9,-255.15,-9.45,82.7,-0.67,-149.15
0.012,-0.524,-0.884,0.029,-0.003,0.011,-25.95,-254.4,-10.2,82.7,-0.67,-149.16
0.009,-0.526,-0.881,0.034,0.001,0.003,-25.95,-254.4,-10.2,82.7,-0.66,-149.16
0.009,-0.526,-0.881,0.034,-0.006,0.001,-25.8,-254.55,-10.35,82.7,-0.66,-149.16
0.011,-0.528,-0.882,0.032,-0.002,-0.011,-23.85,-254.7,-9.9,82.71,-0.66,-149.15
0.008,-0.524,-0.877,0.034,-0.001,-0.015,-25.65,-254.4,-9.9,82.71,-0.66,-149.15
0.008,-0.524,-0.877,0.033,-0.001,-0.011,-25.8,-254.55,-9.75,82.71,-0.65,-149.15
0.016,-0.523,-0.876,0.033,0.001,0.001,-25.8,-254.55,-9.75,82.71,-0.66,-149.16
0.01,-0.522,-0.881,0.032,0.004,0.009,-24.15,-254.7,-11.4,82.71,-0.66,-149.16
0.011,-0.528,-0.88,0.032,-0.001,0.011,-25.5,-254.55,-10.8,82.71,-0.66,-149.16
0.011,-0.528,-0.88,0.036,0.004,-0.0,-24.9,-253.65,-11.4,82.71,-0.66,-149.15
0.014,-0.53,-0.884,0.037,0.002,-0.005,-25.95,-255.15,-10.2,82.71,-0.66,-149.15
0.01,-0.529,-0.882,0.036,-0.001,-0.012,-25.95,-252.75,-9.9,82.71,-0.66,-149.15
0.01,-0.529,-0.882,0.033,-0.002,-0.012,-25.8,-255.75,-10.8,82.71,-0.65,-149.14
0.007,-0.531,-0.888,0.039,0.002,-0.006,-25.65,-254.4,-9.15,82.71,-0.65,-149.14
0.015,-0.529,-0.883,0.033,-0.002,0.009,-25.65,-255.9,-10.65,82.71,-0.65,-149.14
0.012,-0.525,-0.883,0.03,0.002,0.008,-25.05,-254.25,-10.35,82.71,-0.65,-149.14
0.012,-0.525,-0.883,0.036,0.004,0.005,-26.55,-255.75,-9.75,82.71,-0.65,-149.15
0.012,-0.524,-0.884,0.033,-0.001,-0.002,-24.9,-254.7,-10.65,82.71,-0.66,-149.15
0.01,-0.526,-0.882,0.032,-0.001,-0.011,-25.95,-257.1,-10.2,82.71,-0.65,-149.15
0.01,-0.526,-0.882,0.039,0.003,-0.011,-25.65,-255.6,-10.65,82.71,-0.65,-149.15
0.011,-0.523,-0.879,0.032,-0.004,-0.006,-25.5,-255.0,-10.05,82.71,-0.65,-149.15
0.013,-0.526,-0.885,0.035,-0.001,-0.001,-25.95,-255.6,-10.65,82.71,-0.65,-149.16
0.012,-0.525,-0.885,0.031,0.001,0.011,-25.05,-255.3,-10.05,82.71,-0.65,-149.16
0.012,-0.525,-0.885,0.034,-0.005,0.006,-25.2,-255.6,-10.95,82.72,-0.65,-149.16
0.016,-0.531,-0.885,0.028,-0.0,0.007,-25.05,-255.3,-10.35,82.72,-0.66,-149.16
0.006,-0.529,-0.883,0.035,-0.001,-0.008,-24.9,-255.15,-9.9,82.72,-0.65,-149.16
0.006,-0.529,-0.883,0.036,0.001,-0.013,-26.4,-255.15,-9.45,82.72,-0.65,-149.15
0.014,-0.529,-0.886,0.036,-0.001,-0.012,-26.4,-255.15,-9.45,82.72,-0.65,-149.15
0.014,-0.522,-0.877,0.035,0.004,-0.002,-26.25,-255.0,-10.8,82.71,-0.65,-149.16
0.009,-0.527,-0.879,0.031,-0.002,0.001,-24.9,-254.4,-10.95,82.72,-0.65,-149.15
0.009,-0.527,-0.879,0.035,-0.001,0.007,-24.75,-255.0,-11.85,82.72,-0.64,-149.15
0.014,-0.523,-0.88,0.036,0.001,0.002,-26.25,-256.05,-10.35,82.72,-0.65,-149.15
0.011,-0.524,-0.881,0.03,0.004,-0.0,-26.25,-256.05,-10.35,82.72,-0.65,-149.15
0.016,-0.524,-0.882,0.041,-0.002,-0.009,-25.65,-253.95,-11.4,82.72,-0.65,-149.16
0.016,-0.524,-0.882,0.037,0.002,-0.015,-25.05,-254.55,-10.05,82.72,-0.66,-149.16
0.01,-0.527,-0.883,0.041,-0.002,-0.008,-25.95,-255.6,-10.95,82.72,-0.65,-149.16
0.01,-0.523,-0.884,0.035,-0.0,0.001,-25.2,-254.4,-10.65,82.72,-0.65,-149.16
0.01,-0.523,-0.884,0.029,0.005,0.005,-25.2,-254.4,-10.65,82.72,-0.65,-149.17
0.011,-0.525,-0.883,0.032,-0.002,0.003,-25.8,-255.75,-11.55,82.72,-0.65,-149.17
0.009,-0.524,-0.883,0.037,0.002,0.002,-24.75,-255.0,-10.35,82.72,-0.65,-149.17
0.01,-0.525,-0.883,0.032,-0.001,-0.002,-25.5,-255.75,-9.3,82.72,-0.65,-149.17
0.01,-0.525,-0.883,0.034,0.002,-0.009,-24.9,-254.4,-9.9,82.72,-0.65,-149.17
0.008,-0.526,-0.881,0.033,0.0,-0.012,-24.9,-254.4,-9.9,82.73,-0.64,-149.17
0.012,-0.524,-0.883,0.037,-0.0,-0.004,-25.05,-253.35,-9.0,82.73,-0.65,-149.18
0.012,-0.524,-0.883,0.029,-0.003,0.007,-24.75,-254.55,-9.75,82.73,-0.65,-149.18
0.012,-0.519,-0.88,0.031,-0.004,0.011,-25.95,-255.6,-9.9,82.73,-0.65,-149.19
0.011,-0.527,-0.88,0.033,-0.003,0.009,-25.5,-255.3,-9.3,82.73,-0.65,-149.18
0.012,-0.53,-0.91,-0.002,0.285,0.117,-25.5,-255.3,-9.3,82.73,-0.65,-149.2
0.012,-0.53,-0.91,0.073,0.34,0.006,-25.05,-255.3,-9.75,82.73,-0.65,-149.21
0.036,-0.507,-0.921,0.331,0.853,-0.006,-24.45,-253.95,-9.45,82.73,-0.69,-149.25
0.032,-0.53,-0.912,0.58,1.078,-0.075,-23.85,-254.7,-7.65,82.73,-0.72,-149.26
0.032,-0.53,-0.912,0.65,1.415,-0.166,-24.15,-255.6,-6.15,82.73,-0.76,-149.27
-0.068,-0.562,-0.938,0.49,1.202,-1.13,-24.15,-255.6,-6.15,82.73,-0.68,-149.26
