ax,ay,az,gx,gy,gz,mx,my,mz,heading,pitch,roll
0.021,-0.521,-0.877,0.058,0.01,-0.138,-31.05,-255.3,-9.3,192.29,0.78,-16.36
0.02,-0.519,-0.878,0.025,-0.004,0.043,-31.35,-255.75,-8.55,192.46,0.82,-16.66
0.02,-0.519,-0.878,0.011,-0.014,0.124,-30.6,-256.05,-9.3,192.63,0.87,-16.97
0.013,-0.54,-0.878,0.002,-0.006,0.151,-30.6,-256.05,-9.3,192.79,0.92,-17.28
0.008,-0.538,-0.883,0.015,-0.003,0.076,-28.8,-255.0,-9.3,192.95,0.97,-17.58
0.008,-0.538,-0.883,0.031,0.003,-0.017,-29.55,-255.75,-10.05,193.11,1.02,-17.89
0.016,-0.533,-0.884,0.065,0.019,-0.151,-30.3,-254.55,-9.3,193.27,1.07,-18.19
0.023,-0.527,-0.88,0.058,0.009,-0.148,-30.3,-253.8,-9.0,193.43,1.12,-18.5
0.027,-0.52,-0.878,0.054,0.008,-0.09,-30.3,-253.8,-9.0,193.59,1.17,-18.81
0.027,-0.52,-0.878,0.016,-0.006,0.081,-30.3,-255.3,-9.75,193.74,1.22,-19.11
0.025,-0.529,-0.879,0.005,-0.014,0.138,-30.15,-254.4,-9.45,193.9,1.27,-19.42
0.013,-0.537,-0.886,0.002,-0.014,0.149,-30.15,-255.6,-10.65,194.05,1.32,-19.73
0.013,-0.537,-0.886,0.034,-0.001,0.029,-29.4,-254.4,-9.45,194.2,1.38,-20.03
0.011,-0.538,-0.885,0.048,0.009,-0.063,-29.4,-254.4,-9.45,194.35,1.43,-20.34
0.016,-0.53,-0.884,0.059,0.012,-0.139,-29.55,-254.25,-10.05,194.49,1.49,-20.65
0.028,-0.523,-0.884,0.052,0.013,-0.115,-31.05,-255.3,-10.05,194.64,1.54,-20.96
0.028,-0.523,-0.884,0.04,0.003,-0.042,-30.6,-255.0,-9.75,194.78,1.6,-21.26
0.026,-0.52,-0.885,0.007,-0.011,0.109,-32.4,-255.15,-9.9,194.92,1.65,-21.57
0.014,-0.529,-0.881,0.003,-0.009,0.139,-29.55,-254.25,-9.3,195.06,1.71,-21.88
0.008,-0.542,-0.883,0.01,-0.015,0.118,-28.8,-255.75,-11.55,195.2,1.77,-22.19
0.008,-0.542,-0.883,0.035,0.0,-0.027,-28.2,-255.6,-9.15,195.34,1.83,-22.5
0.016,-0.534,-0.884,0.05,0.009,-0.097,-29.25,-254.25,-11.1,195.47,1.89,-22.8
